id,name,gender,age,department,hire_date,term_date,status,termination_reason,monthly_salary,performance_rating,satisfaction_score
EMP-0063,يزيد الزهراني,ذكر,30,المبيعات,2024-08-15,,نشط,,10875,2,3.3
EMP-0122,أثير البقمي,أنثى,47,التسويق,2026-01-23,,نشط,,10565,4,4.4
EMP-0269,خالد الزهراني,ذكر,43,العمليات,2023-02-06,,نشط,,10667,5,3.6
EMP-0124,فهد البقمي,ذكر,52,التسويق,2023-04-24,2026-08-15,منتهي الخدمة,استقالة - فرصة أفضل,10997,3,3.3
EMP-0197,سامي المطيري,ذكر,38,خدمة العملاء,2022-08-30,,نشط,,7883,4,5.0
EMP-0001,نورة الرشيدي,أنثى,37,المبيعات,2023-07-18,2024-04-12,منتهي الخدمة,إنهاء عقد - أداء,10967,3,3.4
EMP-0019,رغد المطيري,أنثى,30,المبيعات,2026-04-18,2026-08-16,منتهي الخدمة,تقاعد,7852,3,4.6
EMP-0011,ماجد البقمي,ذكر,47,المبيعات,2024-10-19,,نشط,,11766,4,2.9
EMP-0113,جواهر الحمدان,أنثى,31,التقنية,2025-04-09,,نشط,,13161,4,4.1
EMP-0128,نايف القحطاني,ذكر,28,التسويق,2024-01-13,,نشط,,9009,4,4.9
EMP-0186,سعود الدوسري,ذكر,33,خدمة العملاء,2026-07-25,,نشط,,7804,4,4.1
EMP-0083,أثير العتيبي,أنثى,40,التقنية,2025-03-21,,نشط,,16216,3,4.9
EMP-0178,ماجد العتيبي,ذكر,28,خدمة العملاء,2023-10-15,,نشط,,7662,3,2.6
EMP-0296,لطيفة العنزي,أنثى,35,العمليات,2025-12-21,,نشط,,8386,5,2.4
EMP-0040,هند العمري,أنثى,48,المبيعات,2025-02-20,,نشط,,12639,3,4.8
EMP-0033,نورة العنزي,أنثى,28,المبيعات,2025-06-26,2025-12-12,منتهي الخدمة,استقالة - أسباب شخصية,7585,5,3.4
EMP-0224,سلطان السلمي,ذكر,37,الموارد البشرية,2025-10-26,2026-08-24,منتهي الخدمة,إعادة هيكلة,8062,2,3.1
EMP-0167,هند الحربي,أنثى,31,خدمة العملاء,2025-04-08,,نشط,,6270,5,4.2
EMP-0139,العنود العنزي,أنثى,48,التسويق,2023-04-13,,نشط,,9715,4,4.2
EMP-0029,نورة السبيعي,أنثى,54,المبيعات,2024-09-03,,نشط,,10850,3,4.9
EMP-0025,سلطان الغامدي,ذكر,39,المبيعات,2023-01-11,,نشط,,7117,4,4.6
EMP-0271,سلطان الحمدان,ذكر,25,العمليات,2025-01-15,,نشط,,6608,5,4.1
EMP-0194,أثير السبيعي,أنثى,50,خدمة العملاء,2025-10-20,2026-01-22,منتهي الخدمة,استقالة - فرصة أفضل,7642,4,2.8
EMP-0252,الجازي السلمي,أنثى,29,المالية,2023-12-14,,نشط,,11901,4,2.6
EMP-0175,أثير الشمري,أنثى,52,خدمة العملاء,2022-04-17,,نشط,,7271,5,4.2
EMP-0239,راشد الشمري,ذكر,33,المالية,2026-01-11,2026-06-06,منتهي الخدمة,إعادة هيكلة,12151,4,2.7
EMP-0206,دانة القحطاني,أنثى,39,خدمة العملاء,2025-07-24,2026-02-24,منتهي الخدمة,إنهاء عقد - أداء,5382,4,2.7
EMP-0026,نورة البقمي,أنثى,22,المبيعات,2025-01-12,,نشط,,12673,5,2.7
EMP-0129,عبدالله الغامدي,ذكر,34,التسويق,2023-07-20,,نشط,,9725,3,2.8
EMP-0061,خالد العمري,ذكر,48,المبيعات,2024-03-09,,نشط,,12518,4,3.9
EMP-0021,سامي المطيري,ذكر,29,المبيعات,2024-07-13,2024-11-15,منتهي الخدمة,استقالة - فرصة أفضل,11319,4,1.8
EMP-0046,العنود الحمدان,أنثى,34,المبيعات,2025-03-26,2026-05-22,منتهي الخدمة,استقالة - أسباب شخصية,10759,5,3.1
EMP-0010,الجازي الدوسري,أنثى,25,المبيعات,2026-04-23,2026-06-26,منتهي الخدمة,إعادة هيكلة,9786,3,2.8
EMP-0195,الجازي العنزي,أنثى,45,خدمة العملاء,2024-01-30,,نشط,,5314,4,3.7
EMP-0283,سارة الغامدي,أنثى,26,العمليات,2023-04-21,,نشط,,10879,4,4.4
EMP-0134,سعود الحربي,ذكر,26,التسويق,2026-03-08,,نشط,,12373,4,3.9
EMP-0255,نورة العمري,أنثى,48,المالية,2025-09-14,,نشط,,14739,5,2.9
EMP-0161,عبدالعزيز العتيبي,ذكر,54,خدمة العملاء,2023-12-22,2025-06-06,منتهي الخدمة,استقالة - أسباب شخصية,5233,4,3.0
EMP-0258,ماجد السلمي,ذكر,42,المالية,2026-02-07,,نشط,,13828,4,3.1
EMP-0123,دانة المطيري,أنثى,51,التسويق,2022-09-11,,نشط,,12135,4,3.8
EMP-0004,تركي الشمري,ذكر,35,المبيعات,2022-11-15,,نشط,,9257,3,3.3
EMP-0261,بندر الزهراني,ذكر,46,العمليات,2023-09-07,2026-07-02,منتهي الخدمة,استقالة - فرصة أفضل,7846,3,3.3
EMP-0287,سارة الزهراني,أنثى,50,العمليات,2024-06-01,,نشط,,10197,4,2.3
EMP-0210,خالد العنزي,ذكر,25,خدمة العملاء,2022-05-30,2024-11-26,منتهي الخدمة,استقالة - أسباب شخصية,5835,3,3.4
EMP-0049,شهد السبيعي,أنثى,47,المبيعات,2023-09-09,,نشط,,6503,3,2.8
EMP-0180,نورة الشمري,أنثى,31,خدمة العملاء,2023-03-18,,نشط,,7978,4,3.4
EMP-0080,لطيفة المطيري,أنثى,33,التقنية,2026-04-10,,نشط,,16933,3,3.9
EMP-0285,الجازي السبيعي,أنثى,46,العمليات,2025-09-15,2026-04-14,منتهي الخدمة,إعادة هيكلة,6602,3,2.6
EMP-0121,فيصل الشمري,ذكر,43,التسويق,2026-03-09,,نشط,,9836,5,2.6
EMP-0117,غادة السبيعي,أنثى,53,التقنية,2026-03-07,,نشط,,13689,5,2.8
EMP-0223,لطيفة العتيبي,أنثى,52,الموارد البشرية,2025-04-10,,نشط,,11652,4,4.4
EMP-0038,سعود العتيبي,ذكر,26,المبيعات,2022-08-18,,نشط,,12160,5,3.7
EMP-0042,دانة الزهراني,أنثى,28,المبيعات,2026-06-01,,نشط,,6817,5,2.8
EMP-0082,دانة العتيبي,أنثى,40,التقنية,2022-04-22,,نشط,,11068,4,4.3
EMP-0247,فهد البقمي,ذكر,53,المالية,2023-02-25,2026-03-06,منتهي الخدمة,استقالة - أسباب شخصية,7955,4,2.6
EMP-0199,راشد الدوسري,ذكر,26,خدمة العملاء,2025-12-24,,نشط,,6189,5,4.6
EMP-0069,غادة الشمري,أنثى,46,التقنية,2025-03-25,,نشط,,12249,2,4.1
EMP-0086,نايف الحمدان,ذكر,41,التقنية,2024-06-25,,نشط,,16025,3,3.9
EMP-0146,أثير الزهراني,أنثى,47,التسويق,2025-03-05,2026-05-18,منتهي الخدمة,إنهاء عقد - أداء,6251,3,3.7
EMP-0219,سعود العتيبي,ذكر,24,الموارد البشرية,2022-04-03,,نشط,,9228,5,3.7
EMP-0263,منيرة الرشيدي,أنثى,25,العمليات,2023-01-26,,نشط,,10955,4,4.6
EMP-0088,لمى العتيبي,أنثى,50,التقنية,2024-04-16,,نشط,,16699,3,2.8
EMP-0018,عبدالله الحربي,ذكر,41,المبيعات,2024-01-14,2024-11-15,منتهي الخدمة,تقاعد,7145,3,3.6
EMP-0251,تركي الحمدان,ذكر,50,المالية,2024-02-23,,نشط,,14928,4,2.4
EMP-0137,هند السبيعي,أنثى,26,التسويق,2022-10-31,2026-06-30,منتهي الخدمة,إنهاء عقد - أداء,10492,4,3.3
EMP-0103,عمر السبيعي,ذكر,53,التقنية,2025-04-02,,نشط,,16316,4,3.2
EMP-0155,عمر الرشيدي,ذكر,27,التسويق,2024-01-12,,نشط,,6867,3,3.8
EMP-0270,خالد العمري,ذكر,53,العمليات,2024-09-27,,نشط,,8885,3,4.2
EMP-0141,أثير الحربي,أنثى,49,التسويق,2022-07-10,2024-10-10,منتهي الخدمة,إعادة هيكلة,10557,2,4.9
EMP-0076,منيرة القحطاني,أنثى,37,التقنية,2022-06-25,,نشط,,17004,4,2.9
EMP-0216,تركي العتيبي,ذكر,25,خدمة العملاء,2024-03-31,,نشط,,5797,4,3.0
EMP-0235,الجازي السبيعي,أنثى,24,المالية,2023-04-21,,نشط,,8934,4,4.5
EMP-0016,عبدالله الرشيدي,ذكر,38,المبيعات,2026-01-13,,نشط,,12741,3,4.8
EMP-0289,لطيفة الحمدان,أنثى,37,العمليات,2025-02-19,,نشط,,7389,4,2.7
EMP-0260,الجازي البقمي,أنثى,53,العمليات,2024-05-24,2025-07-10,منتهي الخدمة,تقاعد,9122,5,3.1
EMP-0243,يزيد الحربي,ذكر,40,المالية,2025-08-01,,نشط,,9309,3,2.6
EMP-0034,خالد الزهراني,ذكر,41,المبيعات,2024-06-16,,نشط,,11857,4,4.1
EMP-0174,نايف العمري,ذكر,46,خدمة العملاء,2023-08-01,,نشط,,6714,5,4.5
EMP-0005,عمر الدوسري,ذكر,38,المبيعات,2025-05-21,,نشط,,12477,4,2.5
EMP-0039,عبدالعزيز المطيري,ذكر,49,المبيعات,2022-10-31,2024-09-21,منتهي الخدمة,استقالة - أسباب شخصية,6826,5,2.2
EMP-0032,ماجد البقمي,ذكر,42,المبيعات,2026-01-06,2026-06-16,منتهي الخدمة,استقالة - فرصة أفضل,11787,3,3.2
EMP-0292,عمر السبيعي,ذكر,43,العمليات,2024-02-18,,نشط,,9527,5,4.6
EMP-0211,يزيد السلمي,ذكر,47,خدمة العملاء,2023-12-09,2025-02-20,منتهي الخدمة,استقالة - أسباب شخصية,5434,3,2.3
EMP-0095,فهد العنزي,ذكر,48,التقنية,2023-12-14,,نشط,,10713,5,3.1
EMP-0171,سامي العمري,ذكر,30,خدمة العملاء,2025-06-19,,نشط,,5631,3,4.5
EMP-0272,العنود الزهراني,أنثى,36,العمليات,2025-07-15,2025-11-29,منتهي الخدمة,استقالة - فرصة أفضل,10142,4,2.9
EMP-0028,بندر الرشيدي,ذكر,53,المبيعات,2026-02-05,2026-06-20,منتهي الخدمة,استقالة - فرصة أفضل,6979,4,3.1
EMP-0112,عبدالعزيز البقمي,ذكر,33,التقنية,2026-06-12,,نشط,,10293,4,3.3
EMP-0135,سعود القحطاني,ذكر,24,التسويق,2025-06-13,,نشط,,11397,4,3.5
EMP-0093,الجازي السلمي,أنثى,23,التقنية,2025-03-24,,نشط,,13415,4,4.3
EMP-0098,راشد العنزي,ذكر,25,التقنية,2026-04-06,,نشط,,17998,3,3.0
EMP-0300,شهد البقمي,أنثى,47,العمليات,2025-10-19,,نشط,,8716,5,3.4
EMP-0097,عمر المطيري,ذكر,51,التقنية,2022-01-03,,نشط,,12073,4,3.9
EMP-0140,بندر الدوسري,ذكر,38,التسويق,2025-09-24,,نشط,,7250,4,3.5
EMP-0115,نايف السلمي,ذكر,34,التقنية,2023-09-11,,نشط,,16916,3,3.3
EMP-0294,يزيد الرشيدي,ذكر,53,العمليات,2025-07-20,,نشط,,7985,3,3.0
EMP-0273,راشد العنزي,ذكر,22,العمليات,2022-02-02,,نشط,,9369,2,3.7
EMP-0070,سارة الرشيدي,أنثى,41,التقنية,2026-05-02,,نشط,,18837,5,4.4
EMP-0184,العنود السلمي,أنثى,24,خدمة العملاء,2024-08-20,,نشط,,6529,3,2.2
EMP-0149,نايف السبيعي,ذكر,48,التسويق,2024-06-24,,نشط,,12184,4,3.2
EMP-0120,سلطان القحطاني,ذكر,45,التقنية,2022-09-28,,نشط,,13465,5,2.9
EMP-0145,شهد الحمدان,أنثى,39,التسويق,2025-09-09,2026-03-27,منتهي الخدمة,إعادة هيكلة,8531,5,3.2
EMP-0015,الجازي الرشيدي,أنثى,39,المبيعات,2022-08-23,,نشط,,9286,3,3.4
EMP-0066,ماجد البقمي,ذكر,24,المبيعات,2022-05-21,,نشط,,8525,3,2.3
EMP-0132,عمر الزهراني,ذكر,38,التسويق,2022-09-24,,نشط,,6900,4,2.3
EMP-0064,سارة البقمي,أنثى,30,المبيعات,2024-05-27,,نشط,,7988,2,3.3
EMP-0150,دانة البقمي,أنثى,53,التسويق,2025-10-21,,نشط,,8526,2,3.3
EMP-0147,بندر العنزي,ذكر,32,التسويق,2023-11-30,,نشط,,11911,3,4.8
EMP-0259,سامي الزهراني,ذكر,55,العمليات,2025-09-14,,نشط,,8461,3,3.8
EMP-0278,عمر الغامدي,ذكر,43,العمليات,2025-08-13,,نشط,,6781,5,4.8
EMP-0222,تركي البقمي,ذكر,48,الموارد البشرية,2022-08-13,,نشط,,11654,2,3.5
EMP-0280,لمى الحمدان,أنثى,23,العمليات,2023-10-07,,نشط,,10808,3,4.5
EMP-0187,رغد الزهراني,أنثى,51,خدمة العملاء,2022-05-10,2023-08-25,منتهي الخدمة,استقالة - فرصة أفضل,5817,5,2.4
EMP-0058,دانة العنزي,أنثى,40,المبيعات,2022-06-08,2024-06-24,منتهي الخدمة,استقالة - فرصة أفضل,10924,3,2.5
EMP-0071,هند المطيري,أنثى,45,التقنية,2024-05-27,2026-05-20,منتهي الخدمة,استقالة - فرصة أفضل,15882,5,3.5
EMP-0009,منيرة الرشيدي,أنثى,32,المبيعات,2023-05-17,,نشط,,8711,5,4.0
EMP-0075,هند العمري,أنثى,43,التقنية,2023-06-14,,نشط,,18767,4,3.0
EMP-0057,نايف الشمري,ذكر,37,المبيعات,2026-03-20,,نشط,,8771,4,3.7
EMP-0236,أثير الغامدي,أنثى,53,المالية,2026-06-02,,نشط,,13635,5,4.8
EMP-0185,هند القحطاني,أنثى,28,خدمة العملاء,2026-02-10,,نشط,,8011,4,2.6
EMP-0276,فهد الدوسري,ذكر,51,العمليات,2024-04-11,,نشط,,7850,3,4.5
EMP-0253,أثير العتيبي,أنثى,23,المالية,2026-03-29,,نشط,,11292,4,3.7
EMP-0293,دانة الدوسري,أنثى,34,العمليات,2025-05-20,,نشط,,7455,5,4.9
EMP-0107,فهد المطيري,ذكر,22,التقنية,2024-07-24,,نشط,,15717,5,4.9
EMP-0291,لطيفة البقمي,أنثى,34,العمليات,2024-10-12,,نشط,,7109,3,4.9
EMP-0105,عبدالله الدوسري,ذكر,52,التقنية,2026-03-06,,نشط,,15246,4,4.1
EMP-0127,أثير العنزي,أنثى,48,التسويق,2025-06-14,,نشط,,8291,2,3.2
EMP-0130,نورة العمري,أنثى,37,التسويق,2023-11-15,,نشط,,12446,4,2.4
EMP-0250,غادة العنزي,أنثى,40,المالية,2022-03-06,,نشط,,13799,3,4.0
EMP-0168,سلطان السبيعي,ذكر,27,خدمة العملاء,2025-12-22,,نشط,,6542,4,3.1
EMP-0268,هند الدوسري,أنثى,24,العمليات,2024-04-27,,نشط,,7812,4,2.2
EMP-0183,ماجد السبيعي,ذكر,33,خدمة العملاء,2024-05-03,,نشط,,5350,4,3.2
EMP-0165,سعود المطيري,ذكر,32,خدمة العملاء,2025-06-02,,نشط,,8759,3,3.3
EMP-0003,ماجد العنزي,ذكر,39,المبيعات,2025-04-21,,نشط,,6553,4,2.6
EMP-0092,سعود المطيري,ذكر,50,التقنية,2024-10-08,2025-01-16,منتهي الخدمة,تقاعد,14280,4,2.3
EMP-0014,عبدالعزيز الحربي,ذكر,46,المبيعات,2024-02-28,,نشط,,10334,4,4.9
EMP-0231,راشد الشمري,ذكر,52,الموارد البشرية,2026-03-11,,نشط,,10912,3,3.8
EMP-0182,عبدالعزيز المطيري,ذكر,54,خدمة العملاء,2022-02-03,,نشط,,7943,3,3.4
EMP-0166,راشد السبيعي,ذكر,43,خدمة العملاء,2022-04-18,2022-12-27,منتهي الخدمة,إنهاء عقد - أداء,6583,3,4.2
EMP-0170,ماجد القحطاني,ذكر,31,خدمة العملاء,2022-10-09,2023-07-03,منتهي الخدمة,استقالة - أسباب شخصية,7210,5,1.9
EMP-0074,ماجد العمري,ذكر,46,التقنية,2024-08-09,,نشط,,17098,5,2.7
EMP-0215,خالد المطيري,ذكر,28,خدمة العملاء,2022-01-17,,نشط,,8614,3,3.2
EMP-0043,تركي الشمري,ذكر,36,المبيعات,2026-06-17,2026-08-22,منتهي الخدمة,استقالة - أسباب شخصية,8782,5,2.3
EMP-0143,دانة السبيعي,أنثى,44,التسويق,2023-10-02,2025-05-03,منتهي الخدمة,استقالة - فرصة أفضل,11379,4,2.4
EMP-0191,فهد الغامدي,ذكر,33,خدمة العملاء,2025-05-18,,نشط,,6315,3,3.1
EMP-0214,العنود المطيري,أنثى,37,خدمة العملاء,2024-07-25,2025-09-19,منتهي الخدمة,استقالة - فرصة أفضل,6152,4,3.0
EMP-0163,جواهر الحمدان,أنثى,34,خدمة العملاء,2026-07-17,,نشط,,6948,4,4.9
EMP-0256,سارة السبيعي,أنثى,50,المالية,2022-03-10,,نشط,,13261,5,2.9
EMP-0281,سامي الحربي,ذكر,32,العمليات,2023-09-05,,نشط,,10642,5,3.3
EMP-0109,تركي البقمي,ذكر,53,التقنية,2026-01-11,,نشط,,9588,4,2.9
EMP-0099,فهد العتيبي,ذكر,37,التقنية,2025-07-14,,نشط,,14091,4,3.7
EMP-0217,سعود العنزي,ذكر,39,الموارد البشرية,2026-04-15,,نشط,,11605,4,2.5
EMP-0036,ماجد البقمي,ذكر,38,المبيعات,2025-07-22,,نشط,,8557,5,4.6
EMP-0290,خالد الشمري,ذكر,31,العمليات,2024-10-06,2026-02-23,منتهي الخدمة,استقالة - فرصة أفضل,8455,4,2.3
EMP-0108,جواهر العمري,أنثى,43,التقنية,2023-06-27,,نشط,,15512,4,4.6
EMP-0200,رغد الدوسري,أنثى,36,خدمة العملاء,2024-11-07,2025-07-30,منتهي الخدمة,إعادة هيكلة,5969,5,2.3
EMP-0131,شهد القحطاني,أنثى,36,التسويق,2026-07-24,,نشط,,7208,5,3.9
EMP-0037,الجازي الغامدي,أنثى,24,المبيعات,2023-07-21,2024-06-12,منتهي الخدمة,إنهاء عقد - أداء,8645,3,3.4
EMP-0096,خالد البقمي,ذكر,24,التقنية,2024-03-31,,نشط,,14153,3,2.5
EMP-0047,هند الغامدي,أنثى,43,المبيعات,2022-05-24,,نشط,,11934,5,4.2
EMP-0196,تركي البقمي,ذكر,37,خدمة العملاء,2023-07-25,,نشط,,5106,4,3.6
EMP-0079,تركي الرشيدي,ذكر,39,التقنية,2024-07-18,,نشط,,12777,3,2.7
EMP-0062,جواهر القحطاني,أنثى,49,المبيعات,2023-07-13,,نشط,,9685,3,4.1
EMP-0031,شهد السبيعي,أنثى,27,المبيعات,2022-03-23,,نشط,,11281,4,3.1
EMP-0202,سعود الغامدي,ذكر,48,خدمة العملاء,2026-04-25,,نشط,,5302,3,3.1
EMP-0264,رغد العمري,أنثى,35,العمليات,2025-04-18,,نشط,,8727,3,4.7
EMP-0190,سلطان العنزي,ذكر,53,خدمة العملاء,2025-11-18,,نشط,,8265,4,4.4
EMP-0022,ريم الحربي,أنثى,43,المبيعات,2022-03-06,2023-09-04,منتهي الخدمة,استقالة - فرصة أفضل,10476,3,3.5
EMP-0230,عمر الدوسري,ذكر,31,الموارد البشرية,2026-05-03,,نشط,,8856,5,2.4
EMP-0274,سعود الشمري,ذكر,54,العمليات,2022-02-05,,نشط,,9527,5,4.7
EMP-0077,راشد الرشيدي,ذكر,50,التقنية,2024-10-02,,نشط,,10524,3,3.3
EMP-0221,عبدالعزيز الدوسري,ذكر,54,الموارد البشرية,2024-11-04,,نشط,,11111,3,4.5
EMP-0173,فيصل الرشيدي,ذكر,50,خدمة العملاء,2026-05-25,2026-08-08,منتهي الخدمة,استقالة - فرصة أفضل,8312,5,2.1
EMP-0254,عمر القحطاني,ذكر,51,المالية,2023-05-22,,نشط,,9758,3,4.7
EMP-0159,نايف العمري,ذكر,50,خدمة العملاء,2025-02-28,,نشط,,8612,4,4.0
EMP-0209,جواهر الحمدان,أنثى,40,خدمة العملاء,2025-07-08,,نشط,,6237,4,4.5
EMP-0091,رغد الشمري,أنثى,40,التقنية,2025-05-03,,نشط,,16679,4,4.2
EMP-0090,العنود الحربي,أنثى,36,التقنية,2025-01-20,,نشط,,13352,5,2.4
EMP-0220,شهد الحمدان,أنثى,30,الموارد البشرية,2024-11-21,,نشط,,11522,3,3.3
EMP-0151,نورة القحطاني,أنثى,35,التسويق,2023-09-10,,نشط,,12260,3,3.1
EMP-0101,بندر السلمي,ذكر,52,التقنية,2024-09-15,,نشط,,18031,3,2.7
EMP-0157,منيرة المطيري,أنثى,44,خدمة العملاء,2023-02-02,,نشط,,8924,5,4.5
EMP-0228,ماجد القحطاني,ذكر,41,الموارد البشرية,2023-07-26,,نشط,,8938,5,4.2
EMP-0153,فهد الغامدي,ذكر,24,التسويق,2026-02-28,,نشط,,9766,5,4.6
EMP-0081,فهد السلمي,ذكر,40,التقنية,2023-02-02,,نشط,,11939,3,4.2
EMP-0240,عمر الغامدي,ذكر,42,المالية,2024-11-21,2025-04-27,منتهي الخدمة,استقالة - فرصة أفضل,8651,4,1.8
EMP-0136,نورة العنزي,أنثى,49,التسويق,2024-04-02,,نشط,,10016,4,3.4
EMP-0126,نايف الدوسري,ذكر,48,التسويق,2025-10-05,,نشط,,11952,3,3.4
EMP-0172,لطيفة العنزي,أنثى,48,خدمة العملاء,2022-03-31,,نشط,,7947,3,3.4
EMP-0068,سلطان السبيعي,ذكر,29,التقنية,2025-05-28,,نشط,,11683,5,2.5
EMP-0030,أثير الزهراني,أنثى,26,المبيعات,2022-05-21,,نشط,,8426,4,4.8
EMP-0118,ماجد البقمي,ذكر,38,التقنية,2023-01-25,,نشط,,11240,4,4.7
EMP-0295,تركي الحربي,ذكر,34,العمليات,2025-02-28,,نشط,,10469,3,4.3
EMP-0084,عمر العنزي,ذكر,26,التقنية,2022-08-22,,نشط,,10213,4,4.1
EMP-0094,جواهر المطيري,أنثى,50,التقنية,2025-08-27,,نشط,,11973,5,3.4
EMP-0241,ماجد العنزي,ذكر,39,المالية,2026-03-24,,نشط,,9973,4,3.8
EMP-0138,نايف المطيري,ذكر,49,التسويق,2025-05-24,2026-07-17,منتهي الخدمة,استقالة - فرصة أفضل,11363,4,3.1
EMP-0245,رغد القحطاني,أنثى,27,المالية,2025-10-25,,نشط,,11826,4,2.4
EMP-0027,نايف القحطاني,ذكر,25,المبيعات,2024-04-01,2024-06-02,منتهي الخدمة,تقاعد,8672,5,4.4
EMP-0148,غادة العتيبي,أنثى,32,التسويق,2022-11-15,,نشط,,6407,4,3.0
EMP-0017,عمر البقمي,ذكر,34,المبيعات,2024-11-05,2025-06-18,منتهي الخدمة,استقالة - أسباب شخصية,12878,5,2.9
EMP-0204,رغد الزهراني,أنثى,54,خدمة العملاء,2024-06-05,,نشط,,5226,5,3.7
EMP-0208,نورة البقمي,أنثى,38,خدمة العملاء,2026-04-29,,نشط,,8141,4,3.9
EMP-0226,لطيفة الزهراني,أنثى,35,الموارد البشرية,2024-11-28,,نشط,,11924,4,3.3
EMP-0193,خالد البقمي,ذكر,25,خدمة العملاء,2026-06-09,2026-08-28,منتهي الخدمة,استقالة - أسباب شخصية,7101,5,3.5
EMP-0072,يزيد الزهراني,ذكر,33,التقنية,2024-06-10,,نشط,,13425,4,4.8
EMP-0053,نايف الغامدي,ذكر,31,المبيعات,2023-05-15,,نشط,,6545,5,4.6
EMP-0055,غادة السلمي,أنثى,51,المبيعات,2022-09-06,2025-06-13,منتهي الخدمة,إنهاء عقد - أداء,11078,4,4.9
EMP-0181,ماجد الشمري,ذكر,25,خدمة العملاء,2022-09-07,2026-06-06,منتهي الخدمة,إعادة هيكلة,6872,2,4.5
EMP-0002,سارة القحطاني,أنثى,54,المبيعات,2023-04-22,,نشط,,11097,3,4.0
EMP-0100,ريم السلمي,أنثى,51,التقنية,2022-08-21,,نشط,,11522,4,4.2
EMP-0249,شهد الحربي,أنثى,49,المالية,2022-04-03,,نشط,,8022,4,2.4
EMP-0282,بندر العمري,ذكر,30,العمليات,2026-02-23,,نشط,,6642,4,4.9
EMP-0116,عبدالعزيز الشمري,ذكر,40,التقنية,2025-12-03,2026-07-19,منتهي الخدمة,استقالة - أسباب شخصية,9132,4,3.1
EMP-0299,يزيد الحمدان,ذكر,27,العمليات,2026-07-22,,نشط,,8033,4,3.2
EMP-0227,جواهر الحمدان,أنثى,43,الموارد البشرية,2024-12-27,,نشط,,11769,5,2.9
EMP-0158,سارة الزهراني,أنثى,34,خدمة العملاء,2023-06-09,2024-06-16,منتهي الخدمة,إعادة هيكلة,7684,2,4.9
EMP-0189,فهد العمري,ذكر,49,خدمة العملاء,2024-01-24,,نشط,,8044,4,4.9
EMP-0008,تركي القحطاني,ذكر,39,المبيعات,2025-10-04,,نشط,,12099,4,3.9
EMP-0102,أثير الحربي,أنثى,48,التقنية,2023-07-20,,نشط,,17318,3,2.2
EMP-0111,نورة الدوسري,أنثى,25,التقنية,2026-06-19,,نشط,,15141,4,2.9
EMP-0169,الجازي الرشيدي,أنثى,55,خدمة العملاء,2026-02-22,2026-08-09,منتهي الخدمة,استقالة - أسباب شخصية,5074,4,2.2
EMP-0265,غادة القحطاني,أنثى,29,العمليات,2026-02-27,,نشط,,9923,5,4.1
EMP-0242,راشد الدوسري,ذكر,37,المالية,2025-11-19,2026-02-17,منتهي الخدمة,استقالة - أسباب شخصية,8808,4,3.4
EMP-0048,سعود الشمري,ذكر,48,المبيعات,2025-09-27,2026-04-26,منتهي الخدمة,إنهاء عقد - أداء,8071,4,4.8
EMP-0162,شهد السبيعي,أنثى,46,خدمة العملاء,2024-11-04,,نشط,,7270,5,4.3
EMP-0104,نايف الحمدان,ذكر,34,التقنية,2023-10-22,,نشط,,12912,4,2.9
EMP-0205,سلطان الزهراني,ذكر,36,خدمة العملاء,2023-10-23,,نشط,,8853,4,3.0
